x,y,Ex,Ey,E
-1.00000e+01,-1.00000e+01,6.95585e-04,2.12566e-03,2.23657e-03
-1.00000e+01,-9.50000e+00,8.66866e-04,2.29016e-03,2.44873e-03
-1.00000e+01,-9.00000e+00,1.06677e-03,2.46003e-03,2.68137e-03
-1.00000e+01,-8.50000e+00,1.29870e-03,2.63278e-03,2.93567e-03
-1.00000e+01,-8.00000e+00,1.56600e-03,2.80503e-03,3.21256e-03
-1.00000e+01,-7.50000e+00,1.87175e-03,2.97232e-03,3.51257e-03
-1.00000e+01,-7.00000e+00,2.21845e-03,3.12906e-03,3.83569e-03
-1.00000e+01,-6.50000e+00,2.60770e-03,3.26834e-03,4.18117e-03
-1.00000e+01,-6.00000e+00,3.03970e-03,3.38203e-03,4.54729e-03
-1.00000e+01,-5.50000e+00,3.51276e-03,3.46081e-03,4.93120e-03
-1.00000e+01,-5.00000e+00,4.02276e-03,3.49454e-03,5.32864e-03
-1.00000e+01,-4.50000e+00,4.56261e-03,3.47268e-03,5.73384e-03
-1.00000e+01,-4.00000e+00,5.12186e-03,3.38504e-03,6.13938e-03
-1.00000e+01,-3.50000e+00,5.68655e-03,3.22275e-03,6.53628e-03
-1.00000e+01,-3.00000e+00,6.23933e-03,2.97932e-03,6.91416e-03
-1.00000e+01,-2.50000e+00,6.76012e-03,2.65186e-03,7.26165e-03
-1.00000e+01,-2.00000e+00,7.22719e-03,2.24208e-03,7.56698e-03
-1.00000e+01,-1.50000e+00,7.61877e-03,1.75702e-03,7.81875e-03
-1.00000e+01,-1.00000e+00,7.91495e-03,1.20926e-03,8.00679e-03
-1.00000e+01,-5.00000e-01,8.09965e-03,6.16424e-04,8.12308e-03
-1.00000e+01,0.00000e+00,8.16243e-03,0.00000e+00,8.16243e-03
-1.00000e+01,5.00000e-01,8.09965e-03,-6.16424e-04,8.12308e-03
-1.00000e+01,1.00000e+00,7.91495e-03,-1.20926e-03,8.00679e-03
-1.00000e+01,1.50000e+00,7.61877e-03,-1.75702e-03,7.81875e-03
-1.00000e+01,2.00000e+00,7.22719e-03,-2.24208e-03,7.56698e-03
-1.00000e+01,2.50000e+00,6.76012e-03,-2.65186e-03,7.26165e-03
-1.00000e+01,3.00000e+00,6.23933e-03,-2.97932e-03,6.91416e-03
-1.00000e+01,3.50000e+00,5.68655e-03,-3.22275e-03,6.53628e-03
-1.00000e+01,4.00000e+00,5.12186e-03,-3.38504e-03,6.13938e-03
-1.00000e+01,4.50000e+00,4.56261e-03,-3.47268e-03,5.73384e-03
-1.00000e+01,5.00000e+00,4.02276e-03,-3.49454e-03,5.32864e-03
-1.00000e+01,5.50000e+00,3.51276e-03,-3.46081e-03,4.93120e-03
-1.00000e+01,6.00000e+00,3.03970e-03,-3.38203e-03,4.54729e-03
-1.00000e+01,6.50000e+00,2.60770e-03,-3.26834e-03,4.18117e-03
-1.00000e+01,7.00000e+00,2.21845e-03,-3.12906e-03,3.83569e-03
-1.00000e+01,7.50000e+00,1.87175e-03,-2.97232e-03,3.51257e-03
-1.00000e+01,8.00000e+00,1.56600e-03,-2.80503e-03,3.21256e-03
-1.00000e+01,8.50000e+00,1.29870e-03,-2.63278e-03,2.93567e-03
-1.00000e+01,9.00000e+00,1.06677e-03,-2.46003e-03,2.68137e-03
-1.00000e+01,9.50000e+00,8.66866e-04,-2.29016e-03,2.44873e-03
-1.00000e+01,1.00000e+01,6.95585e-04,-2.12566e-03,2.23657e-03
-9.50000e+00,-1.00000e+01,6.31514e-04,2.28657e-03,2.37217e-03
-9.50000e+00,-9.50000e+00,8.09840e-04,2.47980e-03,2.60869e-03
-9.50000e+00,-9.00000e+00,1.02089e-03,2.68228e-03,2.86999e-03
-9.50000e+00,-8.50000e+00,1.26919e-03,2.89162e-03,3.15790e-03
-9.50000e+00,-8.00000e+00,1.55940e-03,3.10438e-03,3.47403e-03
-9.50000e+00,-7.50000e+00,1.89605e-03,3.31577e-03,3.81960e-03
-9.50000e+00,-7.00000e+00,2.28326e-03,3.51949e-03,4.19524e-03
-9.50000e+00,-6.50000e+00,2.72423e-03,3.70747e-03,4.60073e-03
-9.50000e+00,-6.00000e+00,3.22068e-03,3.86985e-03,5.03473e-03
-9.50000e+00,-5.50000e+00,3.77216e-03,3.99494e-03,5.49443e-03
-9.50000e+00,-5.00000e+00,4.37517e-03,4.06954e-03,5.97522e-03
-9.50000e+00,-4.50000e+00,5.02241e-03,4.07941e-03,6.47041e-03
-9.50000e+00,-4.00000e+00,5.70204e-03,4.01026e-03,6.97104e-03
-9.50000e+00,-3.50000e+00,6.39717e-03,3.84893e-03,7.46579e-03
-9.50000e+00,-3.00000e+00,7.08588e-03,3.58501e-03,7.94116e-03
-9.50000e+00,-2.50000e+00,7.74190e-03,3.21263e-03,8.38200e-03
-9.50000e+00,-2.00000e+00,8.33595e-03,2.73210e-03,8.77226e-03
-9.50000e+00,-1.50000e+00,8.83804e-03,2.15122e-03,9.09608e-03
-9.50000e+00,-1.00000e+00,9.22019e-03,1.48577e-03,9.33914e-03
-9.50000e+00,-5.00000e-01,9.45954e-03,7.59010e-04,9.48994e-03
-9.50000e+00,0.00000e+00,9.54107e-03,0.00000e+00,9.54107e-03
-9.50000e+00,5.00000e-01,9.45954e-03,-7.59010e-04,9.48994e-03
-9.50000e+00,1.00000e+00,9.22019e-03,-1.48577e-03,9.33914e-03
-9.50000e+00,1.50000e+00,8.83804e-03,-2.15122e-03,9.09608e-03
-9.50000e+00,2.00000e+00,8.33595e-03,-2.73210e-03,8.77226e-03
-9.50000e+00,2.50000e+00,7.74190e-03,-3.21263e-03,8.38200e-03
-9.50000e+00,3.00000e+00,7.08588e-03,-3.58501e-03,7.94116e-03
-9.50000e+00,3.50000e+00,6.39717e-03,-3.84893e-03,7.46579e-03
-9.50000e+00,4.00000e+00,5.70204e-03,-4.01026e-03,6.97104e-03
-9.50000e+00,4.50000e+00,5.02241e-03,-4.07941e-03,6.47041e-03
-9.50000e+00,5.00000e+00,4.37517e-03,-4.06954e-03,5.97522e-03
-9.50000e+00,5.50000e+00,3.77216e-03,-3.99494e-03,5.49443e-03
-9.50000e+00,6.00000e+00,3.22068e-03,-3.86985e-03,5.03473e-03
-9.50000e+00,6.50000e+00,2.72423e-03,-3.70747e-03,4.60073e-03
-9.50000e+00,7.00000e+00,2.28326e-03,-3.51949e-03,4.19524e-03
-9.50000e+00,7.50000e+00,1.89605e-03,-3.31577e-03,3.81960e-03
-9.50000e+00,8.00000e+00,1.55940e-03,-3.10438e-03,3.47403e-03
-9.50000e+00,8.50000e+00,1.26919e-03,-2.89162e-03,3.15790e-03
-9.50000e+00,9.00000e+00,1.02089e-03,-2.68228e-03,2.86999e-03
-9.50000e+00,9.50000e+00,8.09840e-04,-2.47980e-03,2.60869e-03
-9.50000e+00,1.00000e+01,6.31514e-04,-2.28657e-03,2.37217e-03
-9.00000e+00,-1.00000e+01,5.47164e-04,2.45172e-03,2.51204e-03
-9.00000e+00,-9.50000e+00,7.30296e-04,2.67734e-03,2.77516e-03
-9.00000e+00,-9.00000e+00,9.50444e-04,2.91722e-03,3.06814e-03
-9.00000e+00,-8.50000e+00,1.21350e-03,3.16931e-03,3.39368e-03
-9.00000e+00,-8.00000e+00,1.52575e-03,3.43031e-03,3.75433e-03
-9.00000e+00,-7.50000e+00,1.89367e-03,3.69532e-03,4.15228e-03
-9.00000e+00,-7.00000e+00,2.32354e-03,3.95747e-03,4.58916e-03
-9.00000e+00,-6.50000e+00,2.82089e-03,4.20758e-03,5.06568e-03
-9.00000e+00,-6.00000e+00,3.38981e-03,4.43389e-03,5.58123e-03
-9.00000e+00,-5.50000e+00,4.03193e-03,4.62193e-03,6.13341e-03
-9.00000e+00,-5.00000e+00,4.74531e-03,4.75467e-03,6.71750e-03
-9.00000e+00,-4.50000e+00,5.52313e-03,4.81306e-03,7.32601e-03
-9.00000e+00,-4.00000e+00,6.35246e-03,4.77705e-03,7.94821e-03
-9.00000e+00,-3.50000e+00,7.21328e-03,4.62730e-03,8.56991e-03
-9.00000e+00,-3.00000e+00,8.07806e-03,4.34738e-03,9.17359e-03
-9.00000e+00,-2.50000e+00,8.91230e-03,3.92644e-03,9.73889e-03
-9.00000e+00,-2.00000e+00,9.67628e-03,3.36194e-03,1.02437e-02
-9.00000e+00,-1.50000e+00,1.03281e-02,2.66190e-03,1.06656e-02
-9.00000e+00,-1.00000e+00,1.08279e-02,1.84608e-03,1.09842e-02
-9.00000e+00,-5.00000e-01,1.11426e-02,9.45475e-04,1.11826e-02
-9.00000e+00,0.00000e+00,1.12500e-02,0.00000e+00,1.12500e-02
-9.00000e+00,5.00000e-01,1.11426e-02,-9.45475e-04,1.11826e-02
-9.00000e+00,1.00000e+00,1.08279e-02,-1.84608e-03,1.09842e-02
-9.00000e+00,1.50000e+00,1.03281e-02,-2.66190e-03,1.06656e-02
-9.00000e+00,2.00000e+00,9.67628e-03,-3.36194e-03,1.02437e-02
-9.00000e+00,2.50000e+00,8.91230e-03,-3.92644e-03,9.73889e-03
-9.00000e+00,3.00000e+00,8.07806e-03,-4.34738e-03,9.17359e-03
-9.00000e+00,3.50000e+00,7.21328e-03,-4.62730e-03,8.56991e-03
-9.00000e+00,4.00000e+00,6.35246e-03,-4.77705e-03,7.94821e-03
-9.00000e+00,4.50000e+00,5.52313e-03,-4.81306e-03,7.32601e-03
-9.00000e+00,5.00000e+00,4.74531e-03,-4.75467e-03,6.71750e-03
-9.00000e+00,5.50000e+00,4.03193e-03,-4.62193e-03,6.13341e-03
-9.00000e+00,6.00000e+00,3.38981e-03,-4.43389e-03,5.58123e-03
-9.00000e+00,6.50000e+00,2.82089e-03,-4.20758e-03,5.06568e-03
-9.00000e+00,7.00000e+00,2.32354e-03,-3.95747e-03,4.58916e-03
-9.00000e+00,7.50000e+00,1.89367e-03,-3.69532e-03,4.15228e-03
-9.00000e+00,8.00000e+00,1.52575e-03,-3.43031e-03,3.75433e-03
-9.00000e+00,8.50000e+00,1.21350e-03,-3.16931e-03,3.39368e-03
-9.00000e+00,9.00000e+00,9.50444e-04,-2.91722e-03,3.06814e-03
-9.00000e+00,9.50000e+00,7.30296e-04,-2.67734e-03,2.77516e-03
-9.00000e+00,1.00000e+01,5.47164e-04,-2.45172e-03,2.51204e-03
-8.50000e+00,-1.00000e+01,4.39533e-04,2.61846e-03,2.65509e-03
-8.50000e+00,-9.50000e+00,6.24330e-04,2.88014e-03,2.94704e-03
-8.50000e+00,-9.00000e+00,8.50455e-04,3.16243e-03,3.27479e-03
-8.50000e+00,-8.50000e+00,1.12541e-03,3.46392e-03,3.64216e-03
-8.50000e+00,-8.00000e+00,1.45751e-03,3.78183e-03,4.05297e-03
-8.50000e+00,-7.50000e+00,1.85566e-03,4.11148e-03,4.51085e-03
-8.50000e+00,-7.00000e+00,2.32905e-03,4.44575e-03,5.01888e-03
-8.50000e+00,-6.50000e+00,2.88647e-03,4.77455e-03,5.57925e-03
-8.50000e+00,-6.00000e+00,3.53552e-03,5.08423e-03,6.19268e-03
-8.50000e+00,-5.50000e+00,4.28128e-03,5.35719e-03,6.85776e-03
-8.50000e+00,-5.00000e+00,5.12474e-03,5.57179e-03,7.57019e-03
-8.50000e+00,-4.50000e+00,6.06087e-03,5.70270e-03,8.32195e-03
-8.50000e+00,-4.00000e+00,7.07656e-03,5.72206e-03,9.10054e-03
-8.50000e+00,-3.50000e+00,8.14877e-03,5.60155e-03,9.88837e-03
-8.50000e+00,-3.00000e+00,9.24328e-03,5.31548e-03,1.06627e-02
-8.50000e+00,-2.50000e+00,1.03149e-02,4.84482e-03,1.13960e-02
-8.50000e+00,-2.00000e+00,1.13092e-02,4.18154e-03,1.20575e-02
-8.50000e+00,-1.50000e+00,1.21671e-02,3.33266e-03,1.26153e-02
-8.50000e+00,-1.00000e+00,1.28307e-02,2.32261e-03,1.30392e-02
-8.50000e+00,-5.00000e-01,1.32509e-02,1.19313e-03,1.33045e-02
-8.50000e+00,0.00000e+00,1.33949e-02,0.00000e+00,1.33949e-02
-8.50000e+00,5.00000e-01,1.32509e-02,-1.19313e-03,1.33045e-02
-8.50000e+00,1.00000e+00,1.28307e-02,-2.32261e-03,1.30392e-02
-8.50000e+00,1.50000e+00,1.21671e-02,-3.33266e-03,1.26153e-02
-8.50000e+00,2.00000e+00,1.13092e-02,-4.18154e-03,1.20575e-02
-8.50000e+00,2.50000e+00,1.03149e-02,-4.84482e-03,1.13960e-02
-8.50000e+00,3.00000e+00,9.24328e-03,-5.31548e-03,1.06627e-02
-8.50000e+00,3.50000e+00,8.14877e-03,-5.60155e-03,9.88837e-03
-8.50000e+00,4.00000e+00,7.07656e-03,-5.72206e-03,9.10054e-03
-8.50000e+00,4.50000e+00,6.06087e-03,-5.70270e-03,8.32195e-03
-8.50000e+00,5.00000e+00,5.12474e-03,-5.57179e-03,7.57019e-03
-8.50000e+00,5.50000e+00,4.28128e-03,-5.35719e-03,6.85776e-03
-8.50000e+00,6.00000e+00,3.53552e-03,-5.08423e-03,6.19268e-03
-8.50000e+00,6.50000e+00,2.88647e-03,-4.77455e-03,5.57925e-03
-8.50000e+00,7.00000e+00,2.32905e-03,-4.44575e-03,5.01888e-03
-8.50000e+00,7.50000e+00,1.85566e-03,-4.11148e-03,4.51085e-03
-8.50000e+00,8.00000e+00,1.45751e-03,-3.78183e-03,4.05297e-03
-8.50000e+00,8.50000e+00,1.12541e-03,-3.46392e-03,3.64216e-03
-8.50000e+00,9.00000e+00,8.50455e-04,-3.16243e-03,3.27479e-03
-8.50000e+00,9.50000e+00,6.24330e-04,-2.88014e-03,2.94704e-03
-8.50000e+00,1.00000e+01,4.39533e-04,-2.61846e-03,2.65509e-03
-8.00000e+00,-1.00000e+01,3.05606e-04,2.78321e-03,2.79993e-03
-8.00000e+00,-9.50000e+00,4.87860e-04,3.08446e-03,3.12280e-03
-8.00000e+00,-9.00000e+00,7.15527e-04,3.41417e-03,3.48834e-03
-8.00000e+00,-8.50000e+00,9.97956e-04,3.77204e-03,3.90182e-03
-8.00000e+00,-8.00000e+00,1.34585e-03,4.15630e-03,4.36877e-03
-8.00000e+00,-7.50000e+00,1.77119e-03,4.56305e-03,4.89475e-03
-8.00000e+00,-7.00000e+00,2.28687e-03,4.98551e-03,5.48499e-03
-8.00000e+00,-6.50000e+00,2.90619e-03,5.41314e-03,6.14394e-03
-8.00000e+00,-6.00000e+00,3.64178e-03,5.83068e-03,6.87455e-03
-8.00000e+00,-5.50000e+00,4.50410e-03,6.21733e-03,7.67737e-03
-8.00000e+00,-5.00000e+00,5.49926e-03,6.54607e-03,8.54944e-03
-8.00000e+00,-4.50000e+00,6.62627e-03,6.78370e-03,9.48293e-03
-8.00000e+00,-4.00000e+00,7.87370e-03,6.89182e-03,1.04639e-02
-8.00000e+00,-3.50000e+00,9.21641e-03,6.82925e-03,1.14709e-02
-8.00000e+00,-3.00000e+00,1.06128e-02,6.55614e-03,1.24746e-02
-8.00000e+00,-2.50000e+00,1.20038e-02,6.03997e-03,1.34378e-02
-8.00000e+00,-2.00000e+00,1.33148e-02,5.26259e-03,1.43171e-02
-8.00000e+00,-1.50000e+00,1.44610e-02,4.22722e-03,1.50662e-02
-8.00000e+00,-1.00000e+00,1.53569e-02,2.96340e-03,1.56402e-02
-8.00000e+00,-5.00000e-01,1.59285e-02,1.52787e-03,1.60016e-02
-8.00000e+00,0.00000e+00,1.61250e-02,0.00000e+00,1.61250e-02
-8.00000e+00,5.00000e-01,1.59285e-02,-1.52787e-03,1.60016e-02
-8.00000e+00,1.00000e+00,1.53569e-02,-2.96340e-03,1.56402e-02
-8.00000e+00,1.50000e+00,1.44610e-02,-4.22722e-03,1.50662e-02
-8.00000e+00,2.00000e+00,1.33148e-02,-5.26259e-03,1.43171e-02
-8.00000e+00,2.50000e+00,1.20038e-02,-6.03997e-03,1.34378e-02
-8.00000e+00,3.00000e+00,1.06128e-02,-6.55614e-03,1.24746e-02
-8.00000e+00,3.50000e+00,9.21641e-03,-6.82925e-03,1.14709e-02
-8.00000e+00,4.00000e+00,7.87370e-03,-6.89182e-03,1.04639e-02
-8.00000e+00,4.50000e+00,6.62627e-03,-6.78370e-03,9.48293e-03
-8.00000e+00,5.00000e+00,5.49926e-03,-6.54607e-03,8.54944e-03
-8.00000e+00,5.50000e+00,4.50410e-03,-6.21733e-03,7.67737e-03
-8.00000e+00,6.00000e+00,3.64178e-03,-5.83068e-03,6.87455e-03
-8.00000e+00,6.50000e+00,2.90619e-03,-5.41314e-03,6.14394e-03
-8.00000e+00,7.00000e+00,2.28687e-03,-4.98551e-03,5.48499e-03
-8.00000e+00,7.50000e+00,1.77119e-03,-4.56305e-03,4.89475e-03
-8.00000e+00,8.00000e+00,1.34585e-03,-4.15630e-03,4.36877e-03
-8.00000e+00,8.50000e+00,9.97956e-04,-3.77204e-03,3.90182e-03
-8.00000e+00,9.00000e+00,7.15527e-04,-3.41417e-03,3.48834e-03
-8.00000e+00,9.50000e+00,4.87860e-04,-3.08446e-03,3.12280e-03
-8.00000e+00,1.00000e+01,3.05606e-04,-2.78321e-03,2.79993e-03
-7.50000e+00,-1.00000e+01,1.42537e-04,2.94141e-03,2.94486e-03
-7.50000e+00,-9.50000e+00,3.16825e-04,3.28527e-03,3.30051e-03
-7.50000e+00,-9.00000e+00,5.40032e-04,3.66710e-03,3.70665e-03
-7.50000e+00,-8.50000e+00,8.23537e-04,4.08830e-03,4.17042e-03
-7.50000e+00,-8.00000e+00,1.18080e-03,4.54881e-03,4.69957e-03
-7.50000e+00,-7.50000e+00,1.62745e-03,5.04633e-03,5.30227e-03
-7.50000e+00,-7.00000e+00,2.18113e-03,5.57533e-03,5.98679e-03
-7.50000e+00,-6.50000e+00,2.86101e-03,6.12577e-03,6.76095e-03
-7.50000e+00,-6.00000e+00,3.68682e-03,6.68158e-03,7.63126e-03
-7.50000e+00,-5.50000e+00,4.67708e-03,7.21907e-03,8.60175e-03
-7.50000e+00,-5.00000e+00,5.84631e-03,7.70551e-03,9.67234e-03
-7.50000e+00,-4.50000e+00,7.20122e-03,8.09823e-03,1.08369e-02
-7.50000e+00,-4.00000e+00,8.73568e-03,8.34497e-03,1.20810e-02
-7.50000e+00,-3.50000e+00,1.04250e-02,8.38633e-03,1.33795e-02
-7.50000e+00,-3.00000e+00,1.22205e-02,8.16099e-03,1.46950e-02
-7.50000e+00,-2.50000e+00,1.40460e-02,7.61431e-03,1.59771e-02
-7.50000e+00,-2.00000e+00,1.57987e-02,6.70964e-03,1.71645e-02
-7.50000e+00,-1.50000e+00,1.73557e-02,5.44067e-03,1.81885e-02
-7.50000e+00,-1.00000e+00,1.85883e-02,3.84134e-03,1.89811e-02
-7.50000e+00,-5.00000e-01,1.93816e-02,1.98933e-03,1.94834e-02
-7.50000e+00,0.00000e+00,1.96556e-02,0.00000e+00,1.96556e-02
-7.50000e+00,5.00000e-01,1.93816e-02,-1.98933e-03,1.94834e-02
-7.50000e+00,1.00000e+00,1.85883e-02,-3.84134e-03,1.89811e-02
-7.50000e+00,1.50000e+00,1.73557e-02,-5.44067e-03,1.81885e-02
-7.50000e+00,2.00000e+00,1.57987e-02,-6.70964e-03,1.71645e-02
-7.50000e+00,2.50000e+00,1.40460e-02,-7.61431e-03,1.59771e-02
-7.50000e+00,3.00000e+00,1.22205e-02,-8.16099e-03,1.46950e-02
-7.50000e+00,3.50000e+00,1.04250e-02,-8.38633e-03,1.33795e-02
-7.50000e+00,4.00000e+00,8.73568e-03,-8.34497e-03,1.20810e-02
-7.50000e+00,4.50000e+00,7.20122e-03,-8.09823e-03,1.08369e-02
-7.50000e+00,5.00000e+00,5.84631e-03,-7.70551e-03,9.67234e-03
-7.50000e+00,5.50000e+00,4.67708e-03,-7.21907e-03,8.60175e-03
-7.50000e+00,6.00000e+00,3.68682e-03,-6.68158e-03,7.63126e-03
-7.50000e+00,6.50000e+00,2.86101e-03,-6.12577e-03,6.76095e-03
-7.50000e+00,7.00000e+00,2.18113e-03,-5.57533e-03,5.98679e-03
-7.50000e+00,7.50000e+00,1.62745e-03,-5.04633e-03,5.30227e-03
-7.50000e+00,8.00000e+00,1.18080e-03,-4.54881e-03,4.69957e-03
-7.50000e+00,8.50000e+00,8.23537e-04,-4.08830e-03,4.17042e-03
-7.50000e+00,9.00000e+00,5.40032e-04,-3.66710e-03,3.70665e-03
-7.50000e+00,9.50000e+00,3.16825e-04,-3.28527e-03,3.30051e-03
-7.50000e+00,1.00000e+01,1.42537e-04,-2.94141e-03,2.94486e-03
-7.00000e+00,-1.00000e+01,-5.21182e-05,3.08740e-03,3.08784e-03
-7.00000e+00,-9.50000e+00,1.07454e-04,3.47607e-03,3.47773e-03
-7.00000e+00,-9.00000e+00,3.18415e-04,3.91399e-03,3.92692e-03
-7.00000e+00,-8.50000e+00,5.94256e-04,4.40492e-03,4.44482e-03
-7.00000e+00,-8.00000e+00,9.51457e-04,4.95146e-03,5.04204e-03
-7.00000e+00,-7.50000e+00,1.40985e-03,5.55408e-03,5.73023e-03
-7.00000e+00,-7.00000e+00,1.99280e-03,6.20991e-03,6.52183e-03
-7.00000e+00,-6.50000e+00,2.72703e-03,6.91094e-03,7.42952e-03
-7.00000e+00,-6.00000e+00,3.64186e-03,7.64186e-03,8.46529e-03
-7.00000e+00,-5.50000e+00,4.76741e-03,8.37740e-03,9.63893e-03
-7.00000e+00,-5.00000e+00,6.13144e-03,9.07956e-03,1.09560e-02
-7.00000e+00,-4.50000e+00,7.75422e-03,9.69508e-03,1.24146e-02
-7.00000e+00,-4.00000e+00,9.64125e-03,1.01543e-02,1.40023e-02
-7.00000e+00,-3.50000e+00,1.17740e-02,1.03726e-02,1.56913e-02
-7.00000e+00,-3.00000e+00,1.40995e-02,1.02563e-02,1.74352e-02
-7.00000e+00,-2.50000e+00,1.65221e-02,9.71483e-03,1.91666e-02
-7.00000e+00,-2.00000e+00,1.89006e-02,8.67799e-03,2.07976e-02
-7.00000e+00,-1.50000e+00,2.10548e-02,7.11817e-03,2.22255e-02
-7.00000e+00,-1.00000e+00,2.27870e-02,5.06998e-03,2.33442e-02
-7.00000e+00,-5.00000e-01,2.39141e-02,2.64008e-03,2.40593e-02
-7.00000e+00,0.00000e+00,2.43056e-02,0.00000e+00,2.43056e-02
-7.00000e+00,5.00000e-01,2.39141e-02,-2.64008e-03,2.40593e-02
-7.00000e+00,1.00000e+00,2.27870e-02,-5.06998e-03,2.33442e-02
-7.00000e+00,1.50000e+00,2.10548e-02,-7.11817e-03,2.22255e-02
-7.00000e+00,2.00000e+00,1.89006e-02,-8.67799e-03,2.07976e-02
-7.00000e+00,2.50000e+00,1.65221e-02,-9.71483e-03,1.91666e-02
-7.00000e+00,3.00000e+00,1.40995e-02,-1.02563e-02,1.74352e-02
-7.00000e+00,3.50000e+00,1.17740e-02,-1.03726e-02,1.56913e-02
-7.00000e+00,4.00000e+00,9.64125e-03,-1.01543e-02,1.40023e-02
-7.00000e+00,4.50000e+00,7.75422e-03,-9.69508e-03,1.24146e-02
-7.00000e+00,5.00000e+00,6.13144e-03,-9.07956e-03,1.09560e-02
-7.00000e+00,5.50000e+00,4.76741e-03,-8.37740e-03,9.63893e-03
-7.00000e+00,6.00000e+00,3.64186e-03,-7.64186e-03,8.46529e-03
-7.00000e+00,6.50000e+00,2.72703e-03,-6.91094e-03,7.42952e-03
-7.00000e+00,7.00000e+00,1.99280e-03,-6.20991e-03,6.52183e-03
-7.00000e+00,7.50000e+00,1.40985e-03,-5.55408e-03,5.73023e-03
-7.00000e+00,8.00000e+00,9.51457e-04,-4.95146e-03,5.04204e-03
-7.00000e+00,8.50000e+00,5.94256e-04,-4.40492e-03,4.44482e-03
-7.00000e+00,9.00000e+00,3.18415e-04,-3.91399e-03,3.92692e-03
-7.00000e+00,9.50000e+00,1.07454e-04,-3.47607e-03,3.47773e-03
-7.00000e+00,1.00000e+01,-5.21182e-05,-3.08740e-03,3.08784e-03
-6.50000e+00,-1.00000e+01,-2.80096e-04,3.21437e-03,3.22655e-03
-6.50000e+00,-9.50000e+00,-1.43353e-04,3.64880e-03,3.65161e-03
-6.50000e+00,-9.00000e+00,4.56478e-05,4.14542e-03,4.14567e-03
-6.50000e+00,-8.50000e+00,3.02412e-04,4.71123e-03,4.72092e-03
-6.50000e+00,-8.00000e+00,6.46512e-04,5.35263e-03,5.39153e-03
-6.50000e+00,-7.50000e+00,1.10236e-03,6.07441e-03,6.17363e-03
-6.50000e+00,-7.00000e+00,1.69992e-03,6.87833e-03,7.08528e-03
-6.50000e+00,-6.50000e+00,2.47516e-03,7.76085e-03,8.14599e-03
-6.50000e+00,-6.00000e+00,3.46983e-03,8.71019e-03,9.37588e-03
-6.50000e+00,-5.50000e+00,4.73023e-03,9.70228e-03,1.07939e-02
-6.50000e+00,-5.00000e+00,6.30392e-03,1.06960e-02,1.24155e-02
-6.50000e+00,-4.50000e+00,8.23366e-03,1.16279e-02,1.42478e-02
-6.50000e+00,-4.00000e+00,1.05474e-02,1.24078e-02,1.62850e-02
-6.50000e+00,-3.50000e+00,1.32438e-02,1.29177e-02,1.85004e-02
-6.50000e+00,-3.00000e+00,1.62745e-02,1.30165e-02,2.08396e-02
-6.50000e+00,-2.50000e+00,1.95252e-02,1.25548e-02,2.32133e-02
-6.50000e+00,-2.00000e+00,2.28043e-02,1.14027e-02,2.54962e-02
-6.50000e+00,-1.50000e+00,2.58460e-02,9.48702e-03,2.75321e-02
-6.50000e+00,-1.00000e+00,2.83396e-02,6.83159e-03,2.91514e-02
-6.50000e+00,-5.00000e-01,2.99846e-02,3.58211e-03,3.01979e-02
-6.50000e+00,0.00000e+00,3.05601e-02,0.00000e+00,3.05601e-02
-6.50000e+00,5.00000e-01,2.99846e-02,-3.58211e-03,3.01979e-02
-6.50000e+00,1.00000e+00,2.83396e-02,-6.83159e-03,2.91514e-02
-6.50000e+00,1.50000e+00,2.58460e-02,-9.48702e-03,2.75321e-02
-6.50000e+00,2.00000e+00,2.28043e-02,-1.14027e-02,2.54962e-02
-6.50000e+00,2.50000e+00,1.95252e-02,-1.25548e-02,2.32133e-02
-6.50000e+00,3.00000e+00,1.62745e-02,-1.30165e-02,2.08396e-02
-6.50000e+00,3.50000e+00,1.32438e-02,-1.29177e-02,1.85004e-02
-6.50000e+00,4.00000e+00,1.05474e-02,-1.24078e-02,1.62850e-02
-6.50000e+00,4.50000e+00,8.23366e-03,-1.16279e-02,1.42478e-02
-6.50000e+00,5.00000e+00,6.30392e-03,-1.06960e-02,1.24155e-02
-6.50000e+00,5.50000e+00,4.73023e-03,-9.70228e-03,1.07939e-02
-6.50000e+00,6.00000e+00,3.46983e-03,-8.71019e-03,9.37588e-03
-6.50000e+00,6.50000e+00,2.47516e-03,-7.76085e-03,8.14599e-03
-6.50000e+00,7.00000e+00,1.69992e-03,-6.87833e-03,7.08528e-03
-6.50000e+00,7.50000e+00,1.10236e-03,-6.07441e-03,6.17363e-03
-6.50000e+00,8.00000e+00,6.46512e-04,-5.35263e-03,5.39153e-03
-6.50000e+00,8.50000e+00,3.02412e-04,-4.71123e-03,4.72092e-03
-6.50000e+00,9.00000e+00,4.56478e-05,-4.14542e-03,4.14567e-03
-6.50000e+00,9.50000e+00,-1.43353e-04,-3.64880e-03,3.65161e-03
-6.50000e+00,1.00000e+01,-2.80096e-04,-3.21437e-03,3.22655e-03
-6.00000e+00,-1.00000e+01,-5.42064e-04,3.31443e-03,3.35847e-03
-6.00000e+00,-9.50000e+00,-4.37547e-04,3.79376e-03,3.81891e-03
-6.00000e+00,-9.00000e+00,-2.82166e-04,4.34965e-03,4.35880e-03
-6.00000e+00,-8.50000e+00,-5.87437e-05,4.99328e-03,4.99363e-03
